Concurrent workers; 68
Granulatiry; 10
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5place(3): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2) worker(17) stopped --- 36 stopped workers
place(2) worker(22) stopped --- 36 stopped workers
place(2) worker(55) stopped --- 35 stopped workers
place(2) worker(4) stopped --- 33 stopped workers
place(2) worker(25) stopped --- 32 stopped workers
place(2) worker(65) stopped --- 30 stopped workers
place(2) worker(66) stopped --- 30 stopped workers
place(2) worker(27) stopped --- 31 stopped workers
place(2) worker(10) stopped --- 28 stopped workers
place(2) worker(2) stopped --- 29 stopped workers
place(2) worker(29) stopped --- 28 stopped workers
place(2) worker(8) stopped --- 27 stopped workers
place(2) worker(6) stopped --- 27 stopped workers
place(2) worker(24) stopped --- 27 stopped workers
place(2) worker(60) stopped --- 27 stopped workers
place(2) worker(13) stopped --- 26 stopped workers
place(2) worker(35) stopped --- 26 stopped workers
place(2) worker(44) stopped --- 25 stopped workers
place(2) worker(37) stopped --- 27 stopped workers
place(2) worker(54) stopped --- 31 stopped workers
place(2) worker(26) stopped --- 33 stopped workers
place(2) worker(12) stopped --- 33 stopped workers
place(2) worker(45) stopped --- 31 stopped workers
place(2) worker(38) stopped --- 31 stopped workers
place(2) worker(39) stopped --- 31 stopped workers
place(2) worker(33) stopped --- 28 stopped workers
place(2) worker(42) stopped --- 27 stopped workers
place(2) worker(65) stopped --- 28 stopped workers
place(2) worker(66) stopped --- 28 stopped workers
place(2) worker(44) stopped --- 27 stopped workers
place(2) worker(37) stopped --- 26 stopped workers
place(2) worker(62) stopped --- 25 stopped workers
place(2) worker(60) stopped --- 24 stopped workers
place(2) worker(36) stopped --- 23 stopped workers
place(2) worker(49) stopped --- 21 stopped workers
place(2) worker(33) stopped --- 20 stopped workers
place(2) worker(6) stopped --- 19 stopped workers
place(2) worker(8) stopped --- 20 stopped workers
place(2) worker(29) stopped --- 21 stopped workers
place(2) worker(52) stopped --- 19 stopped workers
place(2) worker(39) stopped --- 19 stopped workers
place(2) worker(62) stopped --- 20 stopped workers
place(2) worker(59) stopped --- 19 stopped workers
place(2) worker(12) stopped --- 19 stopped workers
place(2) worker(56) stopped --- 19 stopped workers
place(2) worker(58) stopped --- 17 stopped workers
place(2) worker(25) stopped --- 17 stopped workers
place(2) worker(66) stopped --- 16 stopped workers
place(2) worker(63) stopped --- 16 stopped workers
place(2) worker(62) stopped --- 16 stopped workers
place(2) worker(26) stopped --- 15 stopped workers
place(2) worker(33) stopped --- 16 stopped workers
place(2) worker(27) stopped --- 14 stopped workers
